route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Lichtervelde -- La Panne,,700,,,
10,NMBS/SNCB,BUS,Charleroi-Sud -- Tamines,,700,,,
100,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Renaix,,700,,,
101,NMBS/SNCB,BUS,Courtrai -- Roulers,,700,,,
102,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
103,NMBS/SNCB,BUS,Heist-op-den-Berg -- Louvain,,700,,,
104,NMBS/SNCB,BUS,Lierre -- Aarschot,,700,,,
105,NMBS/SNCB,BUS,Londerzeel -- Termonde,,700,,,
106,NMBS/SNCB,BUS,Jurbise -- Ath,,700,,,
107,NMBS/SNCB,BUS,Lierre -- Louvain,,700,,,
108,NMBS/SNCB,BUS,Anvers-Central -- Aarschot,,700,,,
109,NMBS/SNCB,BUS,Courtrai -- Comines,,700,,,
11,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
110,NMBS/SNCB,BUS,Hasselt -- Liers,,700,,,
111,NMBS/SNCB,BUS,Tongres -- Aarschot,,700,,,
112,NMBS/SNCB,BUS,Hasselt -- Tongres,,700,,,
113,NMBS/SNCB,BUS,Liège-Guillemins -- Liers,,700,,,
114,NMBS/SNCB,BUS,Anvers-Central -- Hasselt,,700,,,
115,NMBS/SNCB,BUS,Bertrix -- Virton,,700,,,
116,NMBS/SNCB,BUS,Nivelles -- Braine-L'Alleud,,700,,,
117,NMBS/SNCB,IC,Tournai -- Mouscron,,103,,,
118,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
119,NMBS/SNCB,L,Verviers-Central -- Spa-Geronstère,,100,,,
12,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
120,NMBS/SNCB,IC,Knokke -- Gand-Saint-Pierre,,103,,,
121,NMBS/SNCB,L,Grammont -- Denderleeuw,,100,,,
122,NMBS/SNCB,IC,Tournai -- Ath,,103,,,
123,NMBS/SNCB,IC,Luttre -- Charleroi-Sud,,103,,,
124,NMBS/SNCB,IC,Charleroi-Sud -- Mons,,103,,,
125,NMBS/SNCB,IC,Nivelles -- Charleroi-Sud,,103,,,
126,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
127,NMBS/SNCB,IC,Jette -- Lokeren,,103,,,
128,NMBS/SNCB,IC,Opwijk -- Lokeren,,103,,,
129,NMBS/SNCB,IC,Opwijk -- Termonde,,103,,,
13,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Zottegem,,700,,,
130,NMBS/SNCB,IC,Jette -- Termonde,,103,,,
131,NMBS/SNCB,L,Luttre -- La Louvière- Centre,,100,,,
132,NMBS/SNCB,IC,Burst -- Denderleeuw,,103,,,
133,NMBS/SNCB,IC,Liège-Guillemins -- Liers,,103,,,
134,NMBS/SNCB,IC,Bruxelles-Midi -- Ciney,,103,,,
135,NMBS/SNCB,IC,Anvers-Central -- Herentals,,103,,,
136,NMBS/SNCB,BUS,Courtrai -- Ingelmunster,,700,,,
137,NMBS/SNCB,IC,Zottegem -- Courtrai,,103,,,
138,NMBS/SNCB,IC,Ostende -- Roulers,,103,,,
139,NMBS/SNCB,L,Hasselt -- Liège-Guillemins,,100,,,
14,NMBS/SNCB,BUS,Wavre -- Fleurus,,700,,,
140,NMBS/SNCB,L,Luttre -- Charleroi-Sud,,100,,,
141,NMBS/SNCB,IC,Bruges -- Roulers,,103,,,
142,NMBS/SNCB,IC,La Louvière-Sud -- Binche,,103,,,
143,NMBS/SNCB,IC,Gand-Saint-Pierre -- Courtrai,,103,,,
144,NMBS/SNCB,IC,Denderleeuw -- Courtrai,,103,,,
145,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
146,NMBS/SNCB,IC,Welkenraedt -- Eupen,,103,,,
147,NMBS/SNCB,IC,Bruxelles-Midi -- Gembloux,,103,,,
148,NMBS/SNCB,IC,Ostende -- Gand-Saint-Pierre,,103,,,
149,NMBS/SNCB,L,Namur -- Tamines,,100,,,
15,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Grammont,,700,,,
150,NMBS/SNCB,BUS,Bruges -- Zeebrugge-Strand,,700,,,
151,NMBS/SNCB,IC,Nivelles -- Luttre,,103,,,
152,NMBS/SNCB,IC,Bruges -- Ostende,,103,,,
153,NMBS/SNCB,L,Saint-Ghislain -- Quiévrain,,100,,,
154,NMBS/SNCB,L,Mons -- Quévy,,100,,,
155,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
156,NMBS/SNCB,IC,Hasselt -- Testelt,,103,,,
157,NMBS/SNCB,IC,Bissegem -- Poperinge,,103,,,
158,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
159,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
16,NMBS/SNCB,BUS,Verviers-Central -- Welkenraedt,,700,,,
160,NMBS/SNCB,BUS,Courtrai -- Waregem,,700,,,
161,NMBS/SNCB,IC,Mons -- Jurbise,,103,,,
162,NMBS/SNCB,L,Bruxelles-Nord -- Louvain,,100,,,
163,NMBS/SNCB,L,Gand-Saint-Pierre -- Renaix,,100,,,
164,NMBS/SNCB,L,Gand-Dampoort -- Eeklo,,100,,,
165,NMBS/SNCB,L,Gand-Saint-Pierre -- Audenarde,,100,,,
166,NMBS/SNCB,IC,Saint-Ghislain -- Mouscron,,103,,,
167,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
168,NMBS/SNCB,IC,La Louvière-Sud -- Mouscron,,103,,,
169,NMBS/SNCB,IC,Tamines -- Tournai,,103,,,
17,NMBS/SNCB,BUS,Jette -- Termonde,,700,,,
170,NMBS/SNCB,IC,Charleroi-Sud -- Saint-Ghislain,,103,,,
171,NMBS/SNCB,L,Malines -- Londerzeel,,100,,,
172,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
173,NMBS/SNCB,L,Quévy -- Soignies,,100,,,
174,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
175,NMBS/SNCB,IC,Testelt -- Liège-Guillemins,,103,,,
176,NMBS/SNCB,IC,Anvers-Central -- Heist-op-den-Berg,,103,,,
177,NMBS/SNCB,IC,Anvers-Central -- Hasselt,,103,,,
178,NMBS/SNCB,IC,Tongres -- Testelt,,103,,,
179,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
18,NMBS/SNCB,BUS,Bruxelles-Nord -- Jette,,700,,,
180,NMBS/SNCB,L,Bruxelles-Midi -- Nivelles,,100,,,
181,NMBS/SNCB,BUS,Namur -- Marloie,,700,,,
182,NMBS/SNCB,BUS,Marloie -- Ciney,,700,,,
183,NMBS/SNCB,BUS,Ciney -- Libramont,,700,,,
184,NMBS/SNCB,BUS,Ciney -- Sart-Bernard,,700,,,
185,NMBS/SNCB,BUS,Zeebrugge-Strand -- Gand-Saint-Pierre,,700,,,
186,NMBS/SNCB,BUS,Enghien -- Denderleeuw,,700,,,
187,NMBS/SNCB,BUS,Puurs -- Saint-Nicolas,,700,,,
188,NMBS/SNCB,IC,Hal -- Brussels Airport-Zaventem,,103,,,
189,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
19,NMBS/SNCB,BUS,Enghien -- Grammont,,700,,,
190,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
191,NMBS/SNCB,IC,Tongres -- Bruges,,103,,,
192,NMBS/SNCB,IC,Hasselt -- Bruges,,103,,,
193,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
194,NMBS/SNCB,IC,Tongres -- Blankenberge,,103,,,
195,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
196,NMBS/SNCB,IC,Blankenberge -- Gand-Saint-Pierre,,103,,,
197,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
198,NMBS/SNCB,IC,Hasselt -- Tongres,,103,,,
199,NMBS/SNCB,S6,Schaerbeek -- Grammont,,100,,,
2,NMBS/SNCB,BUS,Mons -- Braine-Le-Comte,,700,,,
20,NMBS/SNCB,BUS,Enghien -- Ath,,700,,,
200,NMBS/SNCB,S6,Bruxelles-Nord -- Grammont,,100,,,
201,NMBS/SNCB,S6,Schaerbeek -- Alost,,100,,,
202,NMBS/SNCB,S6,Schaerbeek -- Denderleeuw,,100,,,
203,NMBS/SNCB,S6,Schaerbeek -- Enghien,,100,,,
204,NMBS/SNCB,S6,Enghien -- Alost,,100,,,
205,NMBS/SNCB,S6,Alost -- Grammont,,100,,,
206,NMBS/SNCB,S6,Grammont -- Denderleeuw,,100,,,
207,NMBS/SNCB,S6,Enghien -- Grammont,,100,,,
208,NMBS/SNCB,L,Audenarde -- Zottegem,,100,,,
209,NMBS/SNCB,L,Zottegem -- Courtrai,,100,,,
21,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
210,NMBS/SNCB,L,Audenarde -- Courtrai,,100,,,
211,NMBS/SNCB,IC,Liège-Guillemins -- Mons,,103,,,
212,NMBS/SNCB,IC,Liège-Guillemins -- Quiévrain,,103,,,
213,NMBS/SNCB,EXTRA,Mons -- Nimy,,103,,,
