route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8892338:8892205:6:1925:20210314,Lichtervelde,11000,,1,,1
2,000002,88____:049::8883006:8881000:8:2446:20210319,Mons,11000,,2,,1
3,000003,82____:049::8200100:8869054:2:614:20210321,Arlon,11002,,3,,1
3,000003,88____:049::8869054:8866001:2:624:20210321,Arlon,11002,,3,,1
3,000003,82____:049::8200100:8869054:2:714:20210321,Arlon,11003,,4,,1
3,000003,88____:049::8869054:8866001:2:724:20210321,Arlon,11003,,4,,1
3,000003,82____:049::8200100:8869054:2:814:20210321,Arlon,11004,,5,,1
3,000003,88____:049::8869054:8866001:2:824:20210321,Arlon,11004,,5,,1
4,000004,82____:049::8200940:8869047:2:607:20210424,Athus,11005,,6,,1
4,000004,88____:049::8869047:8866605:2:610:20210424,Athus,11005,,6,,1
5,000005,88____:049::8872009:8871308:5:510:20210509,Luttre,11005,,7,,1
4,000004,82____:049::8200940:8869047:2:707:20210424,Athus,11006,,8,,1
4,000004,88____:049::8869047:8866605:2:710:20210424,Athus,11006,,8,,1
5,000005,88____:049::8872009:8871308:5:610:20210509,Luttre,11006,,9,,1
4,000004,82____:049::8200940:8869047:2:807:20210424,Athus,11007,,10,,1
4,000004,88____:049::8869047:8866605:2:810:20210424,Athus,11007,,10,,1
5,000005,88____:049::8872009:8871308:5:710:20210509,Luttre,11007,,11,,1
4,000004,82____:049::8200940:8869047:2:907:20210424,Athus,11008,,12,,1
4,000004,88____:049::8869047:8866605:2:910:20210424,Athus,11008,,12,,1
5,000005,88____:049::8872009:8871308:5:810:20210509,Luttre,11008,,13,,1
6,000006,88____:049::8872009:8875127:12:809:20210516,Couvin,11008,,14,,1
5,000005,88____:049::8872009:8871308:5:910:20210509,Luttre,11009,,15,,1
5,000005,88____:049::8872009:8871308:5:1010:20210509,Luttre,11010,,16,,1
6,000006,88____:049::8872009:8875127:12:1009:20210516,Couvin,11010,,17,,1
5,000005,88____:049::8872009:8871308:5:1110:20210509,Luttre,11011,,18,,1
5,000005,88____:049::8872009:8871308:5:1210:20210509,Luttre,11012,,19,,1
6,000006,88____:049::8872009:8875127:12:1209:20210516,Couvin,11012,,20,,1
5,000005,88____:049::8872009:8871308:5:1310:20210509,Luttre,11013,,21,,1
